=== S4.2 SCAN (stcp-cross-platform-001 / p0-07) ===
Path     : E:\My Github Projects\SystemTools\Actions
Scope    : Source
Time(UTC): 2026-09-03T15:59:43Z
[HIT-GATE] AdjustScreenBrightnessAction.cs | R07 | :5: | using System.Management;
[HIT-GATE] DisableMouseAction.cs | X06 | :29: | var batchPath = Path.Combine(pluginDir, "jinyongshubiao.bat");
[INFO] EnableDeviceAction.cs | I10 | :49: | string ps1Content = $@"$device = Get-PnpDevice | Where-Object {{$_.InstanceId -eq ""{deviceId}""}}
[INFO] EnableDeviceAction.cs | I10 | :52: | Enable-PnpDevice -InstanceId $device.InstanceId -Confirm:$false
[HIT-GATE] EnableMouseAction.cs | X06 | :29: | var batchPath = Path.Combine(pluginDir, "huifu.bat");
[HIT-GATE] EnterKeyAction.cs | R01 | :7: | using Windows.Win32;
[HIT-GATE] EnterKeyAction.cs | R02 | :25: | PInvoke.keybd_event(VK_RETURN, 0, 0, UIntPtr.Zero);
[INFO] EnterKeyAction.cs | I01 | :25: | PInvoke.keybd_event(VK_RETURN, 0, 0, UIntPtr.Zero);
[HIT-GATE] EnterKeyAction.cs | R02 | :31: | PInvoke.keybd_event(VK_RETURN, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] EnterKeyAction.cs | I01 | :31: | PInvoke.keybd_event(VK_RETURN, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] EscAction.cs | R01 | :7: | using Windows.Win32;
[HIT-GATE] EscAction.cs | R02 | :24: | PInvoke.keybd_event(VK_ESCAPE, 0, 0, UIntPtr.Zero);
[INFO] EscAction.cs | I01 | :24: | PInvoke.keybd_event(VK_ESCAPE, 0, 0, UIntPtr.Zero);
[HIT-GATE] EscAction.cs | R02 | :26: | PInvoke.keybd_event(VK_ESCAPE, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] EscAction.cs | I01 | :26: | PInvoke.keybd_event(VK_ESCAPE, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] ExtendDisplayAction.cs | R18 | :30: | FileName = "DisplaySwitch.exe",
[HIT-GATE] ExtendDisplayAction.cs | R18 | :53: | throw new Exception("无法启动 DisplaySwitch.exe 进程");
[HIT-GATE] ExternalDisplayAction.cs | R18 | :30: | FileName = "DisplaySwitch.exe",
[HIT-GATE] ExternalDisplayAction.cs | R18 | :53: | throw new Exception("无法启动 DisplaySwitch.exe 进程");
[HIT-GATE] F11Action.cs | R01 | :7: | using Windows.Win32;
[HIT-GATE] F11Action.cs | R02 | :24: | PInvoke.keybd_event(VK_F11, 0, 0, UIntPtr.Zero);
[INFO] F11Action.cs | I01 | :24: | PInvoke.keybd_event(VK_F11, 0, 0, UIntPtr.Zero);
[HIT-GATE] F11Action.cs | R02 | :26: | PInvoke.keybd_event(VK_F11, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] F11Action.cs | I01 | :26: | PInvoke.keybd_event(VK_F11, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] ImmediateRestartAction.cs | R01 | :8: | using Windows.Win32;
[HIT-GATE] ImmediateRestartAction.cs | R13 | :16: | [DllImport("ntdll.dll", EntryPoint = "RtlAdjustPrivilege")] // 此API无法使用CsWin32包生成，因为这是个不公开的函数
[HIT-GATE] ImmediateRestartAction.cs | X04 | :16: | [DllImport("ntdll.dll", EntryPoint = "RtlAdjustPrivilege")] // 此API无法使用CsWin32包生成，因为这是个不公开的函数
[HIT-GATE] ImmediateRestartAction.cs | R02 | :28: | if(!PInvoke.ExitWindowsEx(Windows.Win32.System.Shutdown.EXIT_WINDOWS_FLAGS.EWX_REBOOT,Windows.Win32.System.Shutdown.SHUTDOWN_REASON.SHTDN_REASON_FLAG_PLANNED))
[HIT-GATE] ImmediateRestartAction.cs | R21 | :38: | //        FileName = "shutdown",
[HIT-GATE] ImmediateShutdownAction.cs | R01 | :8: | using Windows.Win32;
[HIT-GATE] ImmediateShutdownAction.cs | R13 | :16: | [DllImport("ntdll.dll", EntryPoint = "RtlAdjustPrivilege")] // 此API无法使用CsWin32包生成，因为这是个不公开的函数
[HIT-GATE] ImmediateShutdownAction.cs | X04 | :16: | [DllImport("ntdll.dll", EntryPoint = "RtlAdjustPrivilege")] // 此API无法使用CsWin32包生成，因为这是个不公开的函数
[HIT-GATE] ImmediateShutdownAction.cs | R02 | :28: | if (!PInvoke.ExitWindowsEx(Windows.Win32.System.Shutdown.EXIT_WINDOWS_FLAGS.EWX_SHUTDOWN | Windows.Win32.System.Shutdown.EXIT_WINDOWS_FLAGS.EWX_POWEROFF, Window...
[HIT-GATE] ImmediateShutdownAction.cs | R21 | :38: | //        FileName = "shutdown",
[HIT-GATE] InternalDisplayAction.cs | R18 | :30: | FileName = "DisplaySwitch.exe",
[HIT-GATE] InternalDisplayAction.cs | R18 | :53: | throw new Exception("无法启动 DisplaySwitch.exe 进程");
[HIT-GATE] LockScreenAction.cs | R17 | :29: | FileName = "rundll32.exe",
[HIT-GATE] MoveAction.cs | R15 | :30: | FileName = "cmd.exe",
[HIT-GATE] MoveAction.cs | R16 | :96: | psi.FileName = "robocopy.exe";
[HIT-GATE] RestartAsAdminAction.cs | X08 | :33: | Verb = "runas",
[HIT-GATE] RestartAsAdminAction.cs | X07 | :63: | var id = WindowsIdentity.GetCurrent();
[HIT-GATE] RestartAsAdminAction.cs | X07 | :64: | var principal = new WindowsPrincipal(id);
[HIT-GATE] ScreenShotAction.cs | R03 | :6: | using System.Windows.Forms;
[INFO] ScreenShotAction.cs | I07 | :53: | graphics.CopyFromScreen(screen.Bounds.X, screen.Bounds.Y, 0, 0, screen.Bounds.Size);
[HIT-GATE] SetVolume.cs | R01 | :11: | using Windows.Win32;
[INFO] SetVolume.cs | I08 | :62: | int GetDefaultAudioEndpoint(EDataFlow dataFlow, ERole role, out IMMDevice endpoint);
